reported_date,testing_start_date,testing_end_date,board_IDs,school_boards,school_ID,testing_sites
2021-05-21,2021-05-26,,B67032,London District Catholic School Board,733032,Mother Teresa Catholic Secondary School
2021-05-21,2021-05-26,,B67156,Niagara Catholic District School Board,726087,Lakeshore Catholic High School
2021-05-21,2021-05-22,,R00002,Ottawa Region,S00008,AMA Community Centre
2021-05-21,2021-05-22,,B66125,Peel District School Board,89028,Cherrytree Public School
2021-05-21,2021-05-22,,B66125,Peel District School Board,122815,Cooksville Creek Public School
2021-05-21,2021-05-23,,B66125,Peel District School Board,229647,Whaley's Corners Public School
2021-05-21,2021-05-23,,B66125,Peel District School Board,80454,Camilla Road Senior Public School
2021-05-21,2021-05-22,,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,845361,St. Peter Catholic Secondary School
2021-05-21,2021-05-22,,B66214,Renfrew County District School Board,904767,Mackenzie Community School - Secondary School
2021-05-21,2021-05-27,,B66109,Simcoe County District School Board,894060,Bear Creek Secondary School
2021-05-21,2021-05-26,,B67091,Simcoe Muskoka Catholic District School Board,773050,St Thomas Aquinas Catholic Secondary School
2021-05-21,2021-05-27,,B67040,St Clair Catholic District School Board,864366,Ursuline College Chatham Catholic Secondary School
2021-05-21,2021-05-25,,B66044,Thames Valley District School Board,941743,Sir Frederick Banting Secondary School
2021-05-21,2021-05-28,,B66052,Toronto District School Board,952605,Weston Collegiate Institute
2021-05-21,2021-05-22,,B66087,Trillium Lakelands District School Board,917761,Huntsville High School
2021-05-21,2021-05-22,,B66117,Upper Grand District School Board,185582,Erin Public School
2021-05-21,2021-05-23,,B67148,Waterloo Catholic District School Board,832103,St Mary's High School
2021-05-21,2021-05-22,,B66176,Waterloo Region District School Board,907499,Eastwood Collegiate Institute
2021-05-21,2021-05-27,,B67130,Wellington Catholic District School Board,708704,Sacred Heart - Rockwood Catholic Elementary School
2021-05-21,2021-05-27,2021-05-28,B67075,York Catholic District School Board,748528,Our Lady of the Lake Catholic Academy High School
2021-05-21,2021-05-27,2021-05-28,B66095,York Region District School Board,904970,Dr John M Denison Secondary School
2021-05-21,2021-05-27,2021-05-28,B66095,York Region District School Board,933346,Bur Oak Secondary School
2021-05-21,2021-05-27,2021-05-28,B66095,York Region District School Board,947814,Thornlea Secondary School
2021-05-28,2021-05-29,,B66010,Avon Maitland District School Board,899569,Central Huron Secondary School
2021-05-28,2021-06-03,,B66001,Bluewater District School Board,180789,Georgian Bay Community School
2021-05-28,2021-05-29,,B67008,Bruce-Grey Catholic District School Board,705098,St Peter's & St Paul's Separate School
2021-05-28,2021-05-29,,B67172,Catholic District School Board of Eastern Ontario,759040,Sacred Heart School
2021-05-28,2021-05-30,,B66303,Conseil scolaire Viamonde,907308,�cole secondaire Georges-P-Vanier
2021-05-28,2021-06-02,,B66150,District School Board of Niagara,952214,Westlane Secondary School
2021-05-28,2021-05-29,,B67083,Dufferin-Peel Catholic District School Board,684199,St. Bonaventure Catholic Elementary School
2021-05-28,2021-05-30,,B67083,Dufferin-Peel Catholic District School Board,823953,St Martin Secondary School
2021-05-28,2021-05-29,,B66168,Grand Erie District School Board,903728,Delhi District Secondary School
2021-05-28,2021-05-29,,B67113,Halton Catholic District School Board,696392,St. Francis Xavier Catholic Secondary School
2021-05-28,2021-06-01,,B67113,Halton Catholic District School Board,798010,St. Ignatius of Loyola Catholic Secondary School
2021-05-28,2021-06-02,,B67113,Halton Catholic District School Board,688231,Assumption Catholic Secondary School
2021-05-28,2021-05-29,,B66133,Halton District School Board,926736,Milton District High School
2021-05-28,2021-06-03,,B66133,Halton District School Board,926736,Milton District High School
